target_id,t_sim,x,y,z
CUBE_3,32.077,-102.762550,1.751060,-78.195496
CUBE_1,32.080,-101.422318,0.000000,-47.103111
CUBE_3,32.300,-102.762550,1.751060,-74.612335
CUBE_1,32.302,-102.755043,0.000000,-47.103111
CUBE_3,32.520,-102.762550,1.751060,-71.096725
CUBE_1,32.529,-104.115448,0.000000,-47.103111
CUBE_3,32.743,-102.762550,1.751060,-67.538910
CUBE_1,32.745,-105.407867,0.000000,-47.103111
CUBE_3,32.964,-102.762550,1.751060,-63.998341
CUBE_1,32.970,-106.760345,0.000000,-47.103111
CUBE_3,33.189,-102.762550,1.751060,-60.388920
CUBE_1,33.191,-108.087608,0.000000,-47.103111
CUBE_3,33.502,-102.762550,1.751060,-55.382145
CUBE_1,33.541,-110.187500,0.000000,-47.103111
CUBE_3,33.770,-102.762550,1.751060,-51.094059
CUBE_1,33.772,-111.574692,0.000000,-47.103111
CUBE_3,34.008,-102.762550,1.751060,-47.292019
CUBE_1,34.010,-113.000839,0.000000,-47.103111
CUBE_3,34.218,-102.762550,1.751060,-43.937504
CUBE_1,34.220,-114.258461,0.000000,-47.103111
CUBE_3,34.442,-102.762550,1.751060,-40.341972
CUBE_1,34.444,-115.606735,0.000000,-47.103111
CUBE_3,34.658,-102.762550,1.751060,-36.887432
CUBE_1,34.660,-116.902748,0.000000,-47.103111
CUBE_3,34.869,-101.518097,1.751060,-34.748680
CUBE_1,34.875,-118.191795,0.000000,-47.103111
CUBE_3,35.101,-97.801201,1.751060,-34.725197
CUBE_1,35.112,-119.614128,0.000000,-47.103111
CUBE_3,35.327,-94.190254,1.751060,-34.713718
CUBE_1,35.329,-119.960960,0.000000,-46.140118
CUBE_3,35.548,-90.651634,1.751060,-34.713543
CUBE_1,35.553,-119.971367,0.000000,-44.797558
CUBE_3,35.786,-86.850922,1.751060,-34.713455
CUBE_1,35.790,-119.982368,0.000000,-43.376335
CUBE_3,36.045,-82.712212,1.751060,-34.713455
CUBE_1,36.047,-119.994316,0.000000,-41.834408
CUBE_3,36.271,-79.081795,1.751060,-34.713455
CUBE_1,36.274,-119.999680,0.000000,-40.474842
CUBE_3,36.489,-75.605370,1.751060,-34.713455
CUBE_1,36.491,-119.999680,0.000000,-39.171677
CUBE_3,36.765,-71.191238,1.751060,-34.713455
CUBE_1,36.767,-119.999680,0.000000,-37.516151
CUBE_3,36.976,-67.816353,1.751060,-34.713455
CUBE_1,36.980,-119.999687,0.000000,-36.238129
CUBE_3,37.191,-64.369102,1.751060,-34.713455
CUBE_1,37.193,-119.999985,0.000000,-34.958080
CUBE_3,37.423,-60.660389,1.751060,-34.713455
CUBE_1,37.425,-119.999985,0.000000,-33.566990
CUBE_3,37.635,-57.264511,1.751060,-34.713455
CUBE_1,37.646,-119.999985,0.000000,-32.239326
CUBE_3,37.878,-53.382729,1.751060,-34.713455
CUBE_1,37.880,-119.999985,0.000000,-30.838324
CUBE_3,38.096,-49.893547,1.751060,-34.713455
CUBE_1,38.098,-119.999985,0.000000,-29.529871
CUBE_3,38.319,-46.328281,1.751060,-34.713455
CUBE_1,38.321,-119.999992,0.000000,-28.191671
CUBE_3,38.535,-42.871662,1.751060,-34.713455
